"Round,Draw1,Draw2,Draw3,Draw4,Draw5,Sum"
"1021088,24,03,12,04,14,57"
"1021087,05,01,10,23,16,55"
"1021086,09,07,20,22,10,68"
"1021085,24,26,05,08,03,66"
"1021084,12,13,19,20,16,80"
"1021083,04,22,27,02,06,61"
"1021082,21,10,12,08,06,57"
"1021081,24,20,02,10,25,81"
"1021080,03,18,15,16,10,62"
"1021079,15,07,28,20,06,76"
"1021078,13,07,23,03,16,62"
"1021077,01,23,06,08,02,40"
"1021076,16,22,02,21,25,86"
"1021075,08,15,21,17,14,75"
"1021074,25,21,02,20,12,80"
"1021073,28,27,08,06,11,80"
"1021072,03,12,27,19,28,89"
"1021071,15,23,22,10,03,73"
"1021070,09,16,05,20,02,52"
"1021069,06,04,20,05,22,57"
"1021068,19,15,24,02,27,87"
"1021067,23,13,01,11,07,55"
"1021066,06,24,22,05,18,75"
"1021065,09,25,16,14,26,90"
"1021064,26,16,02,25,17,86"
"1021063,04,01,16,02,25,48"
"1021062,06,08,23,24,26,87"
"1021061,02,16,25,04,24,71"
"1021060,23,08,18,02,28,79"
"1021059,17,08,13,26,11,75"
"1021058,28,25,19,26,20,118"
"1021057,28,18,26,20,06,98"
"1021056,19,18,25,26,28,116"
"1021055,27,07,15,23,14,86"
"1021054,05,11,17,16,27,76"
"1021053,13,07,11,08,20,59"
"1021052,22,02,18,12,10,64"
"1021051,19,20,05,18,03,65"
"1021050,21,16,13,17,28,95"
"1021049,20,19,16,03,10,68"
"1021048,18,08,02,03,07,38"
"1021047,22,09,20,01,11,63"
"1021046,09,22,25,28,20,104"
"1021045,06,16,12,05,15,54"
"1021044,18,05,27,09,17,76"
"1021043,19,17,08,25,09,78"
"1021042,07,12,04,08,20,51"
"1021041,19,27,16,07,26,95"
"1021040,06,04,10,17,28,65"
"1021039,16,25,06,17,21,85"
"1021038,03,14,20,24,08,69"
"1021037,14,11,04,27,25,81"
"1021036,26,10,01,03,28,68"
"1021035,15,22,01,25,09,72"
"1021034,21,24,03,16,09,73"
"1021033,13,11,17,01,23,65"
"1021032,15,20,06,05,16,62"
"1021031,17,01,03,06,05,32"
"1021030,06,09,22,19,16,72"
"1021029,13,07,24,19,04,67"
"1021028,10,17,02,26,11,66"
"1021027,14,25,09,20,26,94"
"1021026,16,04,28,20,17,85"
"1021025,02,09,04,14,26,55"
"1021024,18,04,16,07,03,48"
"1021023,22,20,23,18,28,111"
"1021022,27,26,24,22,02,101"
"1021021,25,18,09,13,26,91"
"1021020,18,25,11,08,20,82"
"1021019,27,05,22,23,12,89"
"1021018,11,02,28,20,05,66"
"1021017,26,08,15,04,05,58"
"1021016,28,18,10,13,02,71"
"1021015,10,23,06,18,01,58"
"1021014,08,26,12,05,15,66"
"1021013,02,07,27,08,22,66"
"1021012,03,11,04,09,01,28"
"1021011,26,12,25,08,06,77"
"1021010,24,18,20,16,03,81"
"1021009,12,14,27,28,26,107"
"1021008,22,09,05,27,28,91"
"1021007,06,10,02,23,21,62"
"1021006,19,11,15,13,09,67"
"1021005,22,12,21,14,15,84"
"1021004,23,03,04,11,02,43"
"1021003,02,20,13,28,03,66"
"1021002,11,17,28,12,07,75"
"1021001,21,02,20,24,08,75"
"1021000,28,18,23,03,12,84"
"1020999,15,26,21,17,03,82"
"1020998,17,03,19,10,04,53"
"1020997,13,15,08,22,07,65"
"1020996,03,25,22,14,02,66"
"1020995,05,19,28,07,13,72"
"1020994,18,04,24,07,06,59"
"1020993,09,17,04,26,16,72"
"1020992,16,18,21,25,23,103"
"1020991,15,16,11,20,22,84"
"1020990,20,10,14,23,17,84"
"1020989,17,05,11,04,09,46"
"1020988,23,13,14,07,08,65"
"1020987,06,01,14,04,03,28"
"1020986,24,09,15,20,10,78"
"1020985,01,02,14,04,22,43"
"1020984,17,15,27,25,07,91"
"1020983,28,11,20,24,10,93"
"1020982,04,22,23,01,25,75"
"1020981,16,15,10,02,03,46"
"1020980,03,18,06,16,26,69"
"1020979,06,22,08,14,19,69"
"1020978,22,02,04,23,03,54"
"1020977,01,16,11,10,06,44"
"1020976,27,02,20,14,25,88"
"1020975,04,10,08,25,03,50"
"1020974,15,03,01,09,07,35"
"1020973,15,27,08,06,09,65"
"1020972,06,17,03,26,04,56"
"1020971,27,03,17,18,11,76"
"1020970,27,11,09,24,03,74"
"1020969,17,13,26,02,03,61"
"1020968,14,19,03,23,17,76"
"1020967,03,22,10,25,27,87"
"1020966,20,01,04,23,25,73"
"1020965,26,19,07,12,14,78"
"1020964,11,06,16,19,09,61"
"1020963,11,13,22,14,19,79"
"1020962,08,25,13,12,01,59"
"1020961,12,17,11,26,15,81"
"1020960,24,14,04,28,23,93"
"1020959,01,19,24,05,06,55"
"1020958,26,09,17,07,14,73"
"1020957,16,25,23,24,12,100"
"1020956,05,19,25,28,09,86"
"1020955,27,01,24,10,18,80"
"1020954,23,08,28,13,06,78"
"1020953,08,02,26,01,15,52"
"1020952,13,09,03,07,01,33"
"1020951,16,04,27,21,19,87"
"1020950,20,22,12,02,13,69"
"1020949,05,24,02,01,03,35"
"1020948,25,07,08,28,21,89"
"1020947,14,26,13,22,12,87"
"1020946,25,21,06,01,04,57"
"1020945,04,17,14,11,22,68"
"1020944,14,15,26,06,24,85"
"1020943,04,16,15,03,01,39"
"1020942,09,27,07,03,06,52"
"1020941,13,10,16,21,19,79"
"1020940,04,05,15,19,23,66"
"1020939,23,28,10,08,18,87"
"1020938,05,10,12,27,02,56"
"1020937,28,16,02,10,22,78"
"1020936,10,08,05,02,17,42"
"1020935,18,21,01,15,02,57"
"1020934,25,24,26,27,28,130"
"1020933,15,20,18,27,26,106"
"1020932,20,10,18,27,08,83"
"1020931,13,23,14,22,10,82"
"1020930,06,16,07,09,03,41"
"1020929,23,20,11,12,18,84"
"1020928,27,24,26,15,11,103"
"1020927,09,15,16,23,02,65"
"1020926,27,15,01,20,12,75"
"1020925,19,13,04,25,05,66"
"1020924,09,24,27,03,20,83"
"1020923,23,28,08,10,11,80"
"1020922,27,20,13,26,01,87"
"1020921,12,10,21,03,25,71"
"1020920,19,08,14,26,21,88"
"1020919,28,13,15,10,18,84"
"1020918,19,10,26,25,22,102"
"1020917,19,14,17,22,23,95"
"1020916,23,24,28,10,09,94"
"1020915,04,12,03,02,08,29"
"1020914,08,23,24,04,07,66"
"1020913,05,10,03,23,11,52"
"1020912,07,09,01,22,13,52"
"1020911,14,09,20,26,03,72"
"1020910,18,12,20,25,17,92"
"1020909,22,06,01,05,12,46"
"1020908,03,12,17,25,22,79"
