"Step","OddEven"
1021088,1
1021087,1
1021086,0
1021085,0
1021084,0
1021083,1
1021082,1
1021081,1
1021080,0
1021079,0
1021078,0
1021077,0
1021076,0
1021075,1
1021074,0
1021073,0
1021072,1
1021071,1
1021070,0
1021069,1
1021068,1
1021067,1
1021066,1
1021065,0
1021064,0
1021063,0
1021062,1
1021061,1
1021060,1
1021059,1
1021058,0
1021057,0
1021056,0
1021055,0
1021054,0
1021053,1
1021052,0
1021051,1
1021050,1
1021049,0
1021048,0
1021047,1
1021046,0
1021045,0
1021044,0
1021043,0
1021042,1
1021041,1
1021040,1
1021039,1
1021038,1
1021037,1
1021036,0
1021035,0
1021034,1
1021033,1
1021032,0
1021031,0
1021030,0
1021029,1
1021028,0
1021027,0
1021026,1
1021025,1
1021024,0
1021023,1
1021022,1
1021021,1
1021020,0
1021019,1
1021018,0
1021017,0
1021016,1
1021015,0
1021014,0
1021013,0
1021012,0
1021011,1
1021010,1
1021009,1
1021008,1
1021007,0
1021006,1
1021005,0
1021004,1
1021003,0
1021002,1
1021001,1
1021000,0
1020999,0
1020998,1
1020997,1
1020996,0
1020995,0
1020994,1
1020993,0
1020992,1
1020991,0
1020990,0
1020989,0
1020988,1
1020987,0
1020986,0
1020985,1
1020984,1
1020983,1
1020982,1
1020981,0
1020980,1
1020979,1
1020978,0
1020977,0
1020976,0
1020975,0
1020974,1
1020973,1
1020972,0
1020971,0
1020970,0
1020969,1
1020968,0
1020967,1
1020966,1
1020965,0
1020964,1
1020963,1
1020962,1
1020961,1
1020960,1
1020959,1
1020958,1
1020957,0
1020956,0
1020955,0
1020954,0
1020953,0
1020952,1
1020951,1
1020950,1
1020949,1
1020948,1
1020947,1
1020946,1
1020945,0
1020944,1
1020943,1
1020942,0
1020941,1
1020940,0
1020939,1
1020938,0
1020937,0
1020936,0
1020935,1
1020934,0
1020933,0
1020932,1
1020931,0
1020930,1
1020929,0
1020928,1
1020927,1
1020926,1
1020925,0
1020924,1
1020923,0
1020922,1
1020921,1
1020920,0
1020919,0
1020918,0
1020917,1
1020916,0
1020915,1
1020914,0
1020913,0
1020912,0
1020911,0
1020910,0
1020909,0
1020908,1
1020907,0
1020906,1
1020905,1
1020904,0
1020903,1
1020902,1
1020901,1
1020900,0
1020899,0
1020898,0
1020897,0
1020896,0
1020895,0
1020894,0
1020893,0
1020892,0
1020891,1
1020890,0
1020889,1
1020888,0
1020887,0
1020886,0
1020885,1
1020884,0
1020883,0
1020882,0
1020881,1
1020880,1
1020879,0
1020878,0
1020877,0
1020876,1
1020875,0
1020874,1
1020873,1
1020872,1
1020871,0
1020870,1
1020869,0
1020868,1
1020867,0
1020866,0
1020865,0
1020864,1
1020863,1
1020862,0
1020861,0
1020860,1
1020859,0
1020858,0
1020857,1
1020856,0
1020855,1
1020854,0
1020853,1
1020852,1
1020851,1
1020850,1
1020849,1
1020848,0
1020847,1
1020846,1
1020845,0
1020844,1
1020843,0
1020842,0
1020841,1
1020840,0
1020839,0
1020838,0
1020837,1
1020836,0
1020835,0
1020834,0
1020833,1
1020832,0
1020831,0
1020830,1
1020829,1
1020828,1
1020827,0
1020826,1
1020825,0
1020824,0
1020823,0
1020822,1
1020821,0
1020820,0
1020819,0
1020818,0
1020817,1
1020816,0
1020815,1
1020814,1
1020813,0
1020812,1
1020811,0
1020810,1
1020809,1
1020808,1
1020807,1
1020806,1
1020805,1
1020804,1
1020803,0
1020802,0
1020801,1
1020800,0
1020799,1
1020798,0
1020797,1
1020796,0
1020795,1
1020794,1
1020793,0
1020792,1
1020791,0
1020790,0
1020789,0
1020788,1
1020787,1
1020786,0
1020785,1
1020784,1
1020783,1
1020782,1
1020781,0
1020780,1
1020779,0
1020778,0
1020777,1
1020776,1
1020775,1
1020774,0
1020773,1
1020772,1
1020771,0
1020770,0
1020769,1
1020768,0
1020767,0
1020766,1
1020765,1
1020764,0
1020763,1
1020762,0
1020761,1
1020760,0
1020759,1
1020758,1
1020757,0
1020756,1
1020755,0
1020754,0
1020753,0
1020752,1
1020751,0
1020750,1
1020749,0
1020748,1
1020747,0
1020746,1
1020745,1
1020744,0
1020743,1
1020742,1
1020741,1
1020740,0
1020739,1
1020738,1
1020737,0
1020736,0
1020735,1
1020734,0
1020733,1
1020732,1
1020731,1
1020730,1
1020729,0
1020728,1
1020727,1
1020726,1
1020725,1
1020724,0
1020723,1
1020722,0
1020721,1
1020720,1
1020719,0
1020718,1
1020717,1
1020716,0
1020715,1
1020714,0
1020713,0
1020712,0
1020711,0
1020710,0
1020709,1
1020708,0
1020707,0
1020706,1
1020705,0
1020704,1
1020703,0
1020702,0
1020701,1
1020700,0
1020699,0
1020698,0
1020697,0
1020696,1
1020695,1
1020694,0
1020693,1
1020692,1
1020691,0
1020690,0
1020689,1
1020688,0
1020687,1
1020686,0
1020685,1
1020684,0
1020683,0
1020682,1
1020681,1
1020680,0
1020679,0
1020678,0
1020677,1
1020676,0
1020675,1
1020674,0
1020673,1
1020672,1
1020671,0
1020670,1
1020669,0
1020668,0
1020667,1
1020666,1
1020665,1
1020664,0
1020663,1
1020662,1
1020661,0
1020660,0
1020659,1
1020658,1
1020657,0
1020656,1
1020655,1
1020654,1
1020653,1
1020652,0
1020651,0
1020650,0
1020649,1
1020648,0
1020647,1
1020646,1
1020645,1
1020644,0
1020643,1
1020642,1
1020641,0
1020640,0
1020639,1
1020638,1
1020637,0
1020636,0
1020635,0
1020634,0
1020633,1
1020632,1
1020631,0
1020630,0
1020629,1
1020628,0
1020627,1
1020626,0
1020625,1
1020624,1
1020623,1
1020622,1
1020621,1
1020620,0
1020619,0
1020618,1
1020617,1
1020616,0
1020615,0
1020614,1
1020613,1
1020612,1
1020611,1
1020610,1
1020609,1
1020608,1
1020607,0
1020606,1
1020605,0
1020604,1
1020603,0
1020602,1
1020601,1
1020600,0
1020599,0
1020598,1
1020597,0
1020596,1
1020595,1
1020594,1
1020593,0
1020592,1
1020591,0
1020590,0
1020589,0
1020588,1
1020587,1
1020586,1
1020585,1
1020584,1
1020583,0
1020582,1
1020581,1
1020580,1
1020579,0
1020578,1
1020577,1
1020576,0
1020575,0
1020574,1
1020573,1
1020572,1
1020571,0
1020570,0
1020569,1
1020568,0
1020567,1
1020566,0
1020565,0
1020564,1
1020563,0
1020562,0
1020561,0
1020560,1
1020559,1
1020558,1
1020557,1
1020556,1
1020555,0
1020554,0
1020553,0
1020552,0
1020551,0
1020550,0
1020549,0
1020548,1
1020547,0
1020546,0
1020545,0
1020544,0
1020543,1
1020542,0
1020541,0
1020540,1
1020539,0
1020538,1
1020537,1
1020536,0
1020535,0
1020534,0
1020533,1
1020532,1
1020531,1
1020530,0
1020529,0
1020528,0
1020527,1
1020526,1
1020525,0
1020524,1
1020523,0
1020522,1
1020521,1
1020520,1
1020519,0
1020518,1
1020517,0
1020516,0
1020515,1
1020514,1
1020513,0
1020512,1
1020511,1
1020510,1
1020509,1
1020508,1
1020507,0
1020506,0
1020505,1
1020504,0
1020503,0
1020502,0
1020501,1
1020500,0
1020499,1
1020498,0
1020497,0
1020496,1
1020495,1
1020494,1
1020493,1
1020492,1
1020491,1
1020490,0
1020489,0
1020488,0
1020487,1
1020486,0
1020485,1
1020484,1
